,fqdn,vt_duration,vt_count,vt_mal_count,vt_ratio,firstseen,lastseen,#query,#ip,#ns,ns_matching,#soa,soa_matching,label,positives,response_code,rlength,url_after_redirects,url,domain_malicious,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,url_length,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path,Alexa_Rank_Avg,Is_FQDN_In_Alexa_1Year
0,bankofamericatec.webcindario.com,9417600.0,12.0,12.0,1.0,,,,,,,,,1,16,"150    1
Name: response_code, dtype: int64","150    8713
Name: rlength, dtype: int64","150    True
Name: url_after_redirects, dtype: bool","150    http://bankofamericatec.webcindario.com/login....
Name: url, dtype: object","1063    True
Name: domain_malicious, dtype: bool",N,32,0.467716161231155,0,1,0,1,N,0,1,135.98,1.0,1.12,3.2994545,0.0,81,1,2,1,0,0,1000000.0,False
1,ftp.tamraj.fartit.com,41644800.0,54.0,54.0,1.0,2017-04-12 03:57:25,2020-09-29 23:10:27,234833.0,2.0,2.0,True,1.0,None,1,7,"1768    1
Name: response_code, dtype: int64","1768    0
Name: rlength, dtype: int64","1768    False
Name: url_after_redirects, dtype: bool","1768    http://ftp.tamraj.fartit.com/
Name: url, dtype: object","779    True
Name: domain_malicious, dtype: bool",N,21,0.40910052132036157,0,0,0,0,N,0,2,29.0,1.0,0.0,0.0,0.0,62,1,3,0,0,0,1000000.0,False
2,bluewin5.godaddysites.com,43891200.0,49.0,49.0,1.0,2018-06-22 10:01:56,2020-08-11 19:36:27,590.0,1.0,1.0,True,1.0,None,1,5,"194    1
Name: response_code, dtype: int64","194    26455
Name: rlength, dtype: int64","194    True
Name: url_after_redirects, dtype: bool","194    https://bluewin5.godaddysites.com/
Name: url, dtype: object","1157    True
Name: domain_malicious, dtype: bool",N,25,0.5067075950978065,0,0,0,0,N,0,1,34.0,1.0,0.0,0.0,0.0,66,1,2,0,0,0,1000000.0,False
3,appleid-applepage8.serveirc.com,4147200.0,10.0,10.0,1.0,2019-05-05 00:01:14,2019-05-08 18:08:38,132.0,1.0,1.0,True,1.0,True,1,8,"1431    1
Name: response_code, dtype: int64","1431    0
Name: rlength, dtype: int64","1431    False
Name: url_after_redirects, dtype: bool","1431    http://appleid-applepage8.serveirc.com/HijaIyh...
Name: url, dtype: object","1476    True
Name: domain_malicious, dtype: bool",N,31,0.46615288375515124,0,2,0,2,N,1,1,69.0,3.0,0.0,0.0,0.0,82,1,2,1,0,0,1000000.0,False
4,paypl-secureded.000webhostapp.com,2764800.0,4.0,4.0,1.0,,,,,,,,,1,8,"449    1
Name: response_code, dtype: int64","449    74
Name: rlength, dtype: int64","449    True
Name: url_after_redirects, dtype: bool","449    https://paypl-secureded.000webhostapp.com/logs...
Name: url, dtype: object","783    True
Name: domain_malicious, dtype: bool",N,33,0.5064777343443411,0,0,0,1,N,1,1,67.2,4.4,0.0,0.48989794,0.0,81,1,2,0,0,0,1000000.0,False
5,internat1onal-service-myappleaccounts.serveirc.com,10281600.0,28.0,28.0,1.0,2019-08-08 17:33:43,2019-08-09 15:45:28,44.0,1.0,1.0,True,1.0,True,1,14,"1510    1
Name: response_code, dtype: int64","1510    194
Name: rlength, dtype: int64","1510    True
Name: url_after_redirects, dtype: bool","1510    https://internat1onal-service-myappleaccounts....
Name: url, dtype: object","1766    True
Name: domain_malicious, dtype: bool",N,50,0.5001346176997664,0,1,1,1,N,2,1,75.666664,1.4444443999999999,0.6666667,3.6345394,0.0,82,1,0,1,0,0,1000000.0,False
6,loginapplestatement.servequake.com,8035200.0,24.0,24.0,1.0,,,,,,,,,1,8,"1581    1
Name: response_code, dtype: int64","1581    0
Name: rlength, dtype: int64","1581    False
Name: url_after_redirects, dtype: bool","1581    http://loginapplestatement.servequake.com/
Name: url, dtype: object","742    True
Name: domain_malicious, dtype: bool",N,34,0.4924786220507253,0,1,1,1,N,0,1,42.0,1.0,0.0,0.0,0.0,75,1,2,1,0,0,1000000.0,False
7,appleid-unclockid.servehttp.com,12268800.0,31.0,31.0,1.0,2019-07-21 12:16:44,2019-07-21 12:21:36,5.0,1.0,1.0,True,1.0,True,1,7,"470    1
Name: response_code, dtype: int64","470    0
Name: rlength, dtype: int64","470    False
Name: url_after_redirects, dtype: bool","470    http://appleid-unclockid.servehttp.com/
Name: url, dtype: object","858    True
Name: domain_malicious, dtype: bool",N,31,0.5133686275018897,0,1,0,1,N,1,1,39.0,1.0,0.0,0.0,0.0,71,1,2,1,0,0,1000000.0,False
8,microsoftdocs.5gbfree.com,44150400.0,40.0,40.0,1.0,,,,,,,,,1,7,"469    1
Name: response_code, dtype: int64","469    0
Name: rlength, dtype: int64","469    False
Name: url_after_redirects, dtype: bool","469    http://microsoftdocs.5gbfree.com/
Name: url, dtype: object","899    True
Name: domain_malicious, dtype: bool",N,25,0.45670759509780645,0,1,0,1,N,0,1,33.0,1.0,0.0,0.0,0.0,65,1,2,1,0,0,1000000.0,False
9,appieidsecureulogin.servehttp.com,17366400.0,3.0,3.0,1.0,2018-12-05 02:42:37,2020-04-20 15:31:37,124.0,2.0,1.0,True,1.0,True,1,7,"840    1
Name: response_code, dtype: int64","840    0
Name: rlength, dtype: int64","840    False
Name: url_after_redirects, dtype: bool","840    http://appieidsecureulogin.servehttp.com/apple...
Name: url, dtype: object","973    False
Name: domain_malicious, dtype: bool",N,33,0.4975211847447011,0,0,2,1,N,0,1,137.25,2.0,1.5,0.0,0.0,81,1,2,1,0,0,1000000.0,False
