,Unnamed: 0,apex,fqdns,firstseen-pdns,lastseen-pdns,days count-pdns,query count,name servers,ns domain,soa_domains_nos,soa_domain,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,Label,Number_of_total_Scans,Number_of_Benign_Scans,apex_marked_malicious,domain_marked_malicious,sibling_domain_marked_malicious,Number_of_query_parameters,Positive_count,Response_code,URL_after_redirects,resolution,rlength,url_length,number of days between firstseen and lastseen,Alexa rank (avg)
1118,1118,ab-tools.com,www.ab-tools.com,2010-12-29,2016-11-01,68191,1,1,True,1,None,N,16,0.41007988164154,0,0,0,0,N,1,1,Compromised,195.0,22.0,172.0,0.0,23.0,0,5,200,True,85.13.146.72,559872,48,2736,738839.6428571428
1119,1119,thecouponsapp.com,thecouponsapp.com,2011-03-31,2019-09-15,666921,2,1,True,2,None,N,17,0.4263021514624899,0,0,0,1,N,0,0,Compromised,23.0,0.0,23.0,23.0,16.0,0,6,200,False,76.74.253.45,38807,170,942,639629.8571428572
1120,1120,mail.ht,f9tt07gbkvv0cnkxhjjo.mail.ht,2019-02-18,2019-09-18,79,1,1,True,1,None,N,28,0.5261207326190647,0,0,0,0,N,0,1,Compromised,30.0,0.0,30.0,0.0,0.0,0,5,503,False,144.76.162.245,2913,39,153,719359.625
1121,1121,ehostinguk.com,tuli.ehostinguk.com,2019-06-30,2020-01-04,116,1,2,True,2,None,N,19,0.4652014559508079,0,0,0,0,N,0,1,Compromised,13.0,0.0,12.0,0.0,0.0,3,12,404,False,172.104.161.220,15354,116,3,446218.4324324324
1122,1122,fearlessrecords.com,appleid.apple.com.fearlessrecords.com,2019-07-16,2019-07-17,32,1,2,True,2,True,N,37,0.4480094937211924,1,2,0,2,N,0,3,Compromised,1.0,0.0,1.0,0.0,0.0,0,7,200,False,162.241.29.163,442,45,24,485095.8780487805
1123,1123,dromeas.gr,support.dromeas.gr,2015-08-04,2019-12-28,2302,2,1,True,2,True,N,18,0.4326650230858044,0,0,1,0,N,0,1,Compromised,4.0,0.0,4.0,0.0,0.0,0,5,404,False,94.130.200.181,244,72,1235,587572.6904761905
1124,1124,softlookup.com,dl.softlookup.com,2019-02-26,2020-01-04,1465,1,5,True,2,None,N,17,0.42269755697633454,0,0,0,0,N,0,1,Compromised,56.0,46.0,8.0,0.0,0.0,0,6,200,False,167.114.100.111,1601889,41,110,594221.0212765958
1125,1125,fr.am,fisher.fr.am,2018-12-03,2019-12-24,242,3,3,True,2,None,N,12,0.38562031562256,0,0,0,0,N,0,1,Compromised,159.0,0.0,125.0,0.0,109.0,0,5,200,False,185.164.136.124,221,31,232,416682.5714285714
1126,1126,x.co,x.co,2011-02-03,2020-01-04,20551133,3,1,True,1,None,N,4,0.25,0,0,0,0,N,0,0,Compromised,6026.0,342.0,5649.0,5649.0,51.0,1,5,403,True,45.40.140.1,317,63,0,603431.7391304348
1127,1127,artgallery.wa.gov.au,sc.artgallery.wa.gov.au,2018-03-09,2020-01-02,479,1,5,True,1,None,N,23,0.44588002849229097,0,0,0,1,N,0,3,Compromised,10.0,4.0,5.0,0.0,0.0,0,5,404,True,203.30.234.14,13766,42,102,641549.4166666666
1128,1128,bogor.net,etalase.bogor.net,2017-12-20,2020-01-01,3291,1,2,True,2,True,N,17,0.4171469130429417,0,0,0,1,N,0,1,Compromised,17.0,0.0,16.0,0.0,0.0,0,7,404,False,202.159.24.22,10081,36,457,780259.5714285715
1129,1129,irsyad.sg,irsyad.sg,2014-07-22,2020-01-03,11465,3,3,True,2,True,N,9,0.3684628534673422,0,0,0,0,N,0,0,Compromised,11.0,0.0,11.0,11.0,0.0,0,7,200,True,116.12.51.226,153183,62,0,552331.0
1130,1130,hostzi.com,part0001.hostzi.com,2013-09-20,2019-12-27,105,2,1,True,2,True,N,19,0.4602350937205876,0,0,0,0,N,0,1,Compromised,50.0,0.0,30.0,0.0,24.0,0,5,200,True,153.92.0.100,45426,38,2146,629434.9
1131,1131,latidoll.com,www.latidoll.com,2010-07-27,2020-01-04,77759,2,3,True,3,True,N,16,0.39445488164154,0,0,0,0,N,0,1,Compromised,81.0,17.0,64.0,0.0,0.0,1,5,200,False,210.122.7.182,2115,63,0,513320.95454545453
1132,1132,ktscc.org,www.ktscc.org,2010-09-10,2020-01-04,94092,3,3,True,2,None,N,13,0.3783733421203239,0,0,0,0,N,0,1,Compromised,26.0,1.0,17.0,0.0,0.0,1,5,404,False,119.59.104.21,4250,47,1,623036.35
1133,1133,shalom.it,www.shalom.it,2018-04-26,2018-04-27,17,1,1,True,1,True,N,13,0.3976041113510931,0,0,0,0,N,0,1,Compromised,23.0,3.0,20.0,0.0,1.0,0,6,200,False,31.14.128.183,91139,74,392,387411.4117647059
1134,1134,pacificsymposium.org,dev.pacificsymposium.org,2016-07-20,2019-12-28,724,4,2,True,2,True,N,24,0.4858552761697398,0,0,0,0,N,0,1,Compromised,2.0,0.0,2.0,0.0,0.0,0,7,404,False,35.155.190.112,93033,40,334,658952.4705882353
1135,1135,obubutea.com,hfhf.obubutea.com,2015-09-09,2015-09-11,35,1,3,True,3,True,N,17,0.42269755697633454,0,0,0,1,N,0,1,Compromised,3.0,0.0,3.0,0.0,0.0,0,7,None,False,on,None,25,1432,461523.45454545453
1136,1136,twilightparadox.com,svr99.twilightparadox.com,2018-09-19,2019-12-28,64,2,1,True,1,True,N,25,0.5104820329725137,0,0,0,0,N,0,1,Compromised,162.0,0.0,162.0,0.0,156.0,0,5,None,False,127.0.0.2,None,33,320,423624.8333333333
1137,1137,my.to,terbaik.my.to,2017-08-16,2020-01-03,73526,2,3,True,2,None,N,13,0.4240934099952612,0,0,0,0,N,0,1,Compromised,409.0,0.0,402.0,0.0,6.0,0,5,403,False,94.242.57.125,570,39,443,555536.2380952381
1138,1138,lordly.ir,dl.lordly.ir,2014-09-04,2020-01-04,7240,3,1,True,1,None,N,12,0.33609023671691995,0,0,0,0,N,0,1,Compromised,116.0,0.0,116.0,0.0,20.0,0,5,403,False,188.40.147.130,216,27,1227,717257.65
1139,1139,aakruthisolutions.com,server.aakruthisolutions.com,2017-09-02,2020-01-04,5274,2,2,True,2,True,N,28,0.4836663884847297,0,0,0,0,N,0,1,Compromised,4.0,0.0,4.0,0.0,0.0,0,5,404,False,162.144.200.77,10354,98,582,343245.3333333333
1140,1140,iaau.edu.kg,law.iaau.edu.kg,2015-11-12,2020-01-04,5164,1,2,True,1,True,N,15,0.3924465391931262,0,0,0,0,N,0,2,Compromised,9.0,0.0,9.0,0.0,0.0,0,6,404,False,176.126.164.16,15,72,606,788203.6136363636
1141,1141,zouri.jp,amenyan.zouri.jp,2012-05-27,2020-01-01,213,1,1,True,1,True,N,16,0.453125,0,0,0,0,N,0,1,Compromised,18.0,0.0,4.0,0.0,0.0,0,10,200,False,112.140.42.29,169020,43,71,201078.97959183675
1142,1142,cpanelplatform.com,lv-shared03.cpanelplatform.com,2015-10-18,2020-01-03,26647,2,1,True,2,None,N,30,0.5154039356509714,0,0,0,0,N,1,1,Attacker-Created,28.0,0.0,27.0,0.0,3.0,0,6,404,False,162.244.92.2,10135,100,243,319731.1081081081
1143,1143,xrccp.com,url.xrccp.com,2017-04-07,2020-01-03,2521,5,1,True,1,True,N,13,0.3783733421203239,0,0,0,0,N,0,1,Attacker-Created,41.0,0.0,41.0,0.0,0.0,0,6,200,False,123.57.144.183,1280136,26,846,26487.714285714286
1144,1144,pymabik.icu,www.pymabik.icu,2019-05-13,2019-08-26,17313,16,2,True,2,True,N,15,0.4154039356509715,0,0,0,0,N,0,1,Attacker-Created,16.0,2.0,14.0,0.0,9.0,0,6,200,False,107.175.91.152,520810,40,0,452784.25
1145,1145,xn--e1agc6agh.xn--p1ai,xn--e1agc6agh.xn--p1ai,2019-06-04,2019-09-23,47491,4,2,True,2,True,N,22,0.4395034581411427,0,0,0,0,N,0,0,Attacker-Created,13.0,0.0,13.0,13.0,0.0,0,8,200,False,178.208.81.5,682898,30,70,367410.25
1146,1146,anktonner.pro,anktonner.pro,2019-06-10,2020-01-04,242895,3,2,True,1,None,N,13,0.3783733421203239,0,0,0,0,N,0,0,Attacker-Created,176.0,0.0,176.0,176.0,0.0,0,5,200,False,199.80.54.115,79143,123,1,187330.0588235294
1147,1147,webstarterz.com,ethgiveaway.webstarterz.com,2018-07-16,2019-08-16,2944,2,2,True,2,None,N,27,0.4855193952478517,0,0,0,0,N,0,1,Attacker-Created,419.0,0.0,397.0,0.0,394.0,0,6,200,True,163.44.136.225,7612,35,380,458707.6024096386
1148,1148,synctraff.com,synctraff.com,2016-07-21,2016-07-21,3,1,1,True,1,True,N,13,0.4240934099952612,0,0,0,0,N,0,0,Attacker-Created,36.0,12.0,24.0,24.0,0.0,0,5,200,False,62.212.87.141,36623,22,283,532916.0344827586
1149,1149,manasel.icu,manasel.icu,2019-04-23,2019-08-26,29049,16,2,True,2,True,N,11,0.409701685930287,0,0,0,0,N,0,0,Attacker-Created,31.0,0.0,31.0,31.0,17.0,0,5,200,False,107.175.18.131,1181,19,116,420354.5128205128
1150,1150,com-shields-devices.live,www.microsoft.com-shields-devices.live,2019-06-02,2019-12-30,26593,2,1,True,1,None,N,38,0.4815845141752626,1,1,0,1,N,2,2,Attacker-Created,1079.0,0.0,1079.0,0.0,3.0,29,6,200,True,95.179.146.120,21016,en&connection,1,115599.34545454546
1151,1151,pirateprox.tel,pirateprox.tel,2019-05-26,2020-01-02,22203,2,1,True,1,True,N,14,0.4044907741135645,0,0,0,0,N,0,0,Compromised,1.0,0.0,1.0,1.0,0.0,0,7,200,True,104.27.160.229,4603,22,83,395101.71153846156
1152,1152,naposzham.fun,naposzham.fun,2019-03-11,2019-08-26,10125,16,2,True,2,True,N,13,0.4240934099952612,0,0,0,0,N,0,0,Attacker-Created,9.0,1.0,8.0,8.0,0.0,0,5,200,False,107.175.18.131,1181,21,125,457073.234375
1153,1153,cdnjquery.org,cdnjquery.org,2019-06-02,2020-01-04,290383,2,1,True,1,True,N,13,0.4433241792260305,0,0,0,0,N,0,0,Attacker-Created,119.0,55.0,64.0,64.0,0.0,1,6,200,False,104.28.2.72,459,40,0,138206.62962962964
1154,1154,ethcrypto.live,ethcrypto.live,2019-05-12,2019-09-17,2173,1,7,True,1,None,N,14,0.4402050536856128,0,0,0,0,N,0,0,Attacker-Created,37.0,0.0,37.0,37.0,0.0,0,11,200,False,5.101.152.115,20092,22,85,555619.2075471698
1155,1155,peakonspot.com,sax.peakonspot.com,2018-03-15,2019-09-11,37502896,115,4,True,1,None,N,18,0.4326650230858044,0,0,0,0,N,0,1,Compromised,702.0,10.0,653.0,0.0,77.0,5,5,200,False,45.55.96.67,157,139,1,328799.33720930235
1156,1156,hostas.ga,hostas.ga,2019-04-05,2019-05-16,6528,1,1,True,1,True,Y,9,0.3406850756895644,0,0,0,0,N,0,0,Attacker-Created,44.0,0.0,44.0,44.0,20.0,0,8,403,False,40.76.42.101,564,26,117,672783.1607142857
1157,1157,nhbrc.org.za,www.nhbrc.org.za,2011-12-13,2019-10-04,18480,1,1,True,1,True,N,16,0.41007988164154,0,0,0,0,N,0,2,Attacker-Created,3.0,1.0,2.0,0.0,0.0,3,5,200,False,196.37.111.108,6754,223,0,530258.2307692308
1158,1158,ackbure.pro,ackbure.pro,2019-06-10,2020-01-04,303156,3,2,True,1,None,N,11,0.409701685930287,0,0,0,0,N,0,0,Attacker-Created,264.0,0.0,264.0,264.0,0.0,0,6,200,False,199.80.54.115,2410,223,1,150774.53521126762
1159,1159,musin.de,mfrs.musin.de,2012-05-11,2020-01-03,37064,1,2,True,1,None,N,13,0.404862640764492,0,0,0,0,N,0,1,Attacker-Created,17.0,0.0,12.0,0.0,0.0,0,5,200,False,194.113.40.57,116,89,1648,223659.125
1160,1160,vovegaval.fun,vovegaval.fun,2019-03-13,2019-08-26,7303,16,2,True,2,True,N,13,0.3976041113510931,0,0,0,0,N,0,0,Attacker-Created,15.0,0.0,15.0,15.0,7.0,0,6,404,False,198.23.164.250,1414,38,1,474055.39285714284
1161,1161,cuckoo.co.kr,silkroad.cuckoo.co.kr,2011-04-11,2019-12-28,4029,1,5,True,1,None,N,21,0.4046071459692097,0,0,0,0,N,0,2,Attacker-Created,54.0,0.0,47.0,0.0,0.0,0,11,200,False,210.105.131.211,22528,43,2288,336309.25
1162,1162,nametraff.com,nametraff.com,2016-07-21,2016-07-21,3,1,1,True,1,True,N,13,0.404862640764492,0,0,0,0,N,0,0,Attacker-Created,584.0,0.0,584.0,584.0,0.0,3,7,200,False,62.212.87.140,36623,141,0,415852.9029126214
1163,1163,nblu.ru,0s.ozvs4y3pnu.nblu.ru,2014-11-11,2020-01-04,232122,4,2,True,1,None,N,21,0.468624326749346,0,0,0,0,N,0,2,Compromised,2137.0,19.0,2118.0,0.0,5.0,0,5,200,True,148.251.43.189,5285,34,975,343501.99122807017
1164,1164,blog-music.ir,blog-music.ir,2019-05-19,2019-12-01,737,2,3,True,2,True,N,13,0.4433241792260305,0,0,0,0,N,1,0,Attacker-Created,1.0,0.0,1.0,1.0,0.0,1,8,404,True,159.69.147.173,24202,40,32,580802.6862745098
1165,1165,littlecherry.pw,littlecherry.pw,2019-04-19,2019-08-29,128451,2,1,True,1,True,Y,15,0.4216946654421501,0,0,0,0,N,0,0,Attacker-Created,4.0,0.0,4.0,4.0,1.0,0,5,200,True,93.171.202.181,23353,23,110,331017.6296296296
1166,1166,bgpgsh.live,v8us4dlgxl1gldb.bgpgsh.live,2019-06-04,2020-01-03,148935,1,2,True,2,True,N,27,0.4739905764973095,0,0,0,0,N,0,1,Attacker-Created,658.0,1.0,657.0,0.0,0.0,10,5,404,False,154.16.205.20,27,228,40,31806.0625
1167,1167,pasteur.sn,pasteur.sn,2017-03-27,2017-03-27,2,1,4,True,1,True,N,10,0.3902410164862569,0,0,0,0,N,0,0,Attacker-Created,3.0,0.0,3.0,3.0,0.0,0,5,None,False,on,None,145,845,712695.1525423729
1168,1168,rvwaweb.com,rvwaweb.com,2019-05-24,2020-01-04,713,5,3,True,3,None,N,11,0.409701685930287,0,0,0,0,N,0,0,Compromised,26.0,1.0,25.0,25.0,13.0,1,6,404,False,5.189.153.142,0,67,1,621040.0701754387
1169,1169,tisaladzh.icu,www.tisaladzh.icu,2019-05-04,2019-08-26,31411,16,2,True,2,True,N,17,0.4318527953958829,0,0,0,0,N,0,1,Attacker-Created,13.0,0.0,13.0,0.0,4.0,0,6,404,False,198.23.164.250,1414,42,1,351846.3275862069
1170,1170,yoyo.pl,www.rafozzo.yoyo.pl,2014-10-10,2020-01-04,387227,7,1,True,1,None,N,19,0.3894792578061568,0,0,0,0,N,0,2,Attacker-Created,267.0,0.0,266.0,0.0,155.0,1,9,403,False,91.195.240.126,552,56,2,414911.1617647059
1171,1171,ivyro.net,mktest.ivyro.net,2015-10-08,2020-01-04,3007,1,1,True,1,True,N,16,0.4316024408207701,0,0,0,0,N,0,1,Compromised,126.0,0.0,33.0,0.0,14.0,0,6,403,False,115.68.95.113,275,31,486,60213.36283185841
1172,1172,kei.pl,enterdel.kei.pl,2016-11-01,2020-01-04,3065,1,1,True,1,True,N,15,0.38836132637606186,0,0,0,0,N,0,1,Compromised,49.0,0.0,33.0,0.0,12.0,0,5,403,False,94.152.50.206,1347,23,1657,254654.44444444444
1173,1173,mysuite.com.br,techs.mysuite.com.br,2013-06-18,2019-12-28,14559,145,4,True,1,None,N,20,0.4480229691428728,0,0,0,0,N,0,2,Compromised,37.0,0.0,11.0,0.0,0.0,5,5,200,True,184.173.79.174,16120,162,875,211104.6588235294
1174,1174,cabanova.com,danilo-cocconi.cabanova.com,2018-10-23,2020-01-04,401,1,1,True,1,None,N,27,0.40929535013692997,0,0,0,0,N,1,1,Compromised,192.0,0.0,127.0,0.0,107.0,0,10,200,False,94.130.246.164,9567,36,292,160089.23333333334
1175,1175,9966.org,tywbfw.9966.org,2015-02-28,2019-08-19,4016,617,1,True,1,None,N,15,0.4216946654421501,0,0,0,0,N,0,1,Attacker-Created,66.0,0.0,66.0,0.0,43.0,0,5,200,True,171.118.119.138,1598,44,483,198075.54385964913
1176,1176,openvswitch.org,openvswitch.org,2010-07-12,2020-01-04,167548,6,2,True,2,None,N,15,0.4716946654421501,0,0,0,0,N,0,0,Compromised,2.0,0.0,2.0,2.0,0.0,0,5,404,True,96.45.82.219,9339,81,2432,348332.609375
1177,1177,uni5.net,meuterramundi.web2019.uni5.net,2017-06-26,2020-01-04,33322,1,1,True,1,True,N,30,0.4872585707553822,0,0,0,0,N,0,2,Compromised,62.0,6.0,45.0,0.0,29.0,1,5,200,False,177.12.164.90,431,117,0,187652.63157894736
1178,1178,kuzdrav.ru,kuzdrav.ru,2013-02-14,2020-01-04,120727,5,3,True,2,None,N,10,0.3652410164862568,0,0,0,0,N,0,0,Compromised,17.0,3.0,14.0,14.0,0.0,0,6,404,True,91.235.106.2,7234,97,1082,649618.0747663551
1179,1179,uisp.it,giocagin.uisp.it,2011-05-27,2019-12-30,2120,2,1,True,1,True,N,16,0.40625,0,0,0,0,N,0,1,Compromised,30.0,0.0,14.0,0.0,3.0,0,6,200,True,185.53.1.85,32602,47,1532,222082.01754385966
1180,1180,host22.com,premios.host22.com,2012-12-30,2019-12-27,149,2,1,True,2,True,N,18,0.4326650230858043,0,0,0,0,N,0,1,Compromised,101.0,0.0,56.0,0.0,53.0,0,5,200,True,153.92.0.100,45425,29,951,620943.8571428572
1181,1181,zixmail.net,web1.zixmail.net,2010-10-24,2020-01-04,6402056,1,1,True,1,True,N,16,0.453125,0,0,0,0,N,0,1,Compromised,230.0,148.0,81.0,0.0,0.0,4,5,200,False,63.71.15.50,7979,136,28,68571.65
1182,1182,ebrmx.com,rodrigo.ebrmx.com,2019-03-15,2019-06-20,2476,1,7,True,3,None,N,17,0.4115962691095487,0,0,0,1,N,0,1,Compromised,7.0,3.0,4.0,0.0,0.0,0,5,200,False,142.234.11.175,139407,46,64,253377.36538461538
1183,1183,zerolag.com,dev.gdia.com.vhost.zerolag.com,2016-06-02,2020-01-04,2737,2,2,True,1,True,N,30,0.4733211626944407,1,0,0,0,N,0,4,Compromised,10.0,0.0,8.0,0.0,1.0,0,6,404,False,142.54.236.80,43693,46,1051,430767.22388059704
1184,1184,cncrk.com,down.cncrk.com,2014-11-04,2019-08-22,80818,15,3,True,2,None,N,14,0.3798935697652535,0,0,0,0,N,0,1,Attacker-Created,6090.0,0.0,5818.0,0.0,5234.0,0,9,404,False,222.241.7.162,315,32,1088,19354.752066115703
1185,1185,kan2.go.th,kan.kan2.go.th,2016-05-31,2020-01-04,1882,2,4,True,2,None,N,14,0.3798935697652535,0,0,0,0,N,0,2,Compromised,41.0,0.0,35.0,0.0,3.0,0,5,200,False,1.10.140.44,0,69,2,457927.9183673469
1186,1186,filmyhd.net,filmyhd.net,2014-01-11,2019-10-31,102193,4,2,True,1,None,N,11,0.4324289625662561,0,0,0,0,N,0,0,Compromised,26.0,0.0,26.0,26.0,0.0,0,5,200,False,91.227.122.13,20897,40,3,139156.54285714286
1187,1187,multilaser.com.br,spm.multilaser.com.br,2016-12-20,2020-01-01,829,3,6,True,2,True,N,21,0.4567195648445842,0,0,0,0,N,0,2,Compromised,32.0,0.0,21.0,0.0,0.0,0,6,404,False,18.210.195.41,310,55,875,101478.14285714286
1188,1188,dominiotemporario.com,portalempr8.dominiotemporario.com,2013-05-31,2020-01-02,255,1,1,True,1,None,N,33,0.44486915950827977,0,0,1,0,N,0,1,Compromised,185.0,0.0,139.0,0.0,136.0,0,7,500,False,200.98.197.107,588,58,2260,298010.0
1189,1189,fr.nf,kakiunix.intelligence-informatique.fr.nf,2016-05-28,2020-01-04,38086,2,1,True,1,None,N,40,0.4882747947387068,0,0,0,0,N,1,2,Compromised,63.0,0.0,9.0,0.0,3.0,0,8,200,True,91.121.28.115,4991,57,1162,435976.5797101449
1190,1190,smarttrain.edu.vn,smarttrain.edu.vn,2014-09-21,2020-01-04,24560,6,2,True,2,True,N,17,0.4374034393292758,0,0,0,0,N,0,1,Compromised,7.0,1.0,6.0,6.0,0.0,0,6,404,True,103.57.208.129,63980,33,978,655838.4181818182
1191,1191,porno-onlain.com,porno-onlain.com,2014-06-14,2019-09-04,40866,17,2,True,2,None,N,16,0.4003524408207701,0,0,0,0,N,1,0,Compromised,4.0,0.0,4.0,4.0,0.0,0,5,404,True,5.187.0.224,37989,89,1890,674024.9516129033
1192,1192,lowiecki.pl,kola.lowiecki.pl,2010-08-01,2020-01-04,20693,2,3,True,2,True,N,16,0.4003524408207701,0,0,0,0,N,0,1,Compromised,24.0,0.0,20.0,0.0,0.0,0,5,200,False,46.248.172.105,4117,36,415,256113.84507042254
