,Unnamed: 0,Unnamed: 0.1,apex,fqdns,firstseen-pdns,lastseen-pdns,days count-pdns,query count,name servers,ns domain,soa_domains_nos,soa_domain,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,Label,Number_of_total_Scans,Number_of_Benign_Scans,apex_marked_malicious,domain_marked_malicious,sibling_domain_marked_malicious,Number_of_query_parameters,Positive_count,Response_code,URL_after_redirects,resolution,rlength,url_length,number of days between firstseen and lastseen,Alexa rank (avg),url,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path
22,22,22,tgpzoo.com,tgpzoo.com,2014-03-21,2020-01-04,64177,6,5,True,4,True,N,10,0.3558049217994889,0,0,0,0,N,0,0,Compromised,74.0,16.0,58.0,58.0,0.0,0,5,404,False,104.27.147.100,133061,81,1228,649129.6,"804    http://tgpzoo.com/videos/two-men-have-sex-with...
Name: url, dtype: object",74.0,1.7837838,0.0,34.527027000000004,0.0,1,1,0,0,0
23,23,23,ppiuk.org,ppiuk.org,2013-12-29,2020-01-04,42739,7,2,True,2,None,N,9,0.3684628534673422,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,404,True,192.232.251.156,49164,67,517,750850.4545454546,"541    http://ppiuk.org/wp-admin/user/dope
Name: url, dtype: object",3.0,3.0,0.0,19.0,0.0,1,1,0,0,0
24,24,24,silvermeow.com,silvermeow.com,2010-06-24,2020-01-04,69788,4,1,True,1,None,N,14,0.4223479138995887,0,0,0,0,N,0,0,Attacker-Created,5.0,0.0,5.0,5.0,0.0,0,9,200,False,107.180.4.65,241664,76,465,614143.0,"363    http://silvermeow.com/eng/attachments/save/2
Name: url, dtype: object",5.0,4.0,0.0,23.0,0.0,1,1,0,0,0
25,25,25,pucon.com,pucon.com,2014-07-03,2020-01-04,23575,4,4,True,4,None,N,9,0.3406850756895644,0,0,0,0,N,0,0,Compromised,8.0,0.0,8.0,8.0,0.0,0,5,404,True,132.148.150.225,5903,75,1052,748876.0,"284    http://pucon.com/antupillan/reservation.htm
Name: url, dtype: object",8.0,2.0,0.0,24.5,0.0,1,1,0,0,0
26,26,26,pageranktop.com,pageranktop.com,2014-07-04,2020-01-04,40984,11,4,True,3,True,N,15,0.4383613321088168,0,0,0,0,N,0,0,Compromised,32.0,0.0,32.0,32.0,11.0,0,9,200,False,213.32.113.112,49739,55,2080,300038.0,"617    http://pageranktop.com/
Name: url, dtype: object",21.0,1.0,0.0,1.2857143,0.0,1,1,0,0,0
27,27,27,kerns.com,kerns.com,2014-05-19,2020-01-04,23317,5,4,True,3,None,N,9,0.3962406312451201,0,0,0,0,N,0,0,Compromised,6.0,0.0,6.0,6.0,0.0,0,5,404,False,198.91.90.109,230632,72,624,565725.5,"23    http://kerns.com/wp-admin/Id_Informationi
Name: url, dtype: object",6.0,3.0,0.0,41.0,0.0,1,1,0,0,0
28,28,28,graaam.com,forums.graaam.com,2014-01-16,2020-01-04,1619230,6,4,True,4,True,N,17,0.3968903867566075,0,0,0,0,N,0,1,Compromised,169381.0,23524.0,145767.0,0.0,0.0,0,5,200,False,195.154.79.119,62179,76,53,38298.21487603306,"971    http://forums.graaam.com/post14883481-4.html
Name: url, dtype: object",169291.0,1.0312362,1.1813977e-05,14.807881,0.0,1,2,0,0,0
29,29,29,zief.pl,zief.pl,2014-09-12,2020-01-04,76118,1,1,True,1,True,N,7,0.35091935475549224,0,0,0,0,N,0,0,Attacker-Created,70.0,0.0,70.0,70.0,27.0,0,12,200,False,148.81.111.121,2,54,1,759631.8,"605    http://zief.pl/exploit
Name: url, dtype: object",43.0,1.5348837,0.0,11.0,0.0,1,1,0,0,0
30,30,30,xtgem.com,xtgem.com,2011-06-01,2020-01-04,3428337,9,2,True,2,True,N,9,0.3684628534673422,0,0,0,0,N,0,0,Compromised,198.0,7.0,47.0,47.0,43.0,1,5,200,False,178.33.123.218,0,81,0,98693.0,"537    http://xtgem.com/__xt_authbar?data=eyJ1cmwiOiJ...
Name: url, dtype: object",11.0,1.3636363999999999,0.0,8.636364,0.0,1,1,0,0,0
31,31,31,netservicesindia.com,netservicesindia.com,2013-11-14,2020-01-04,43181,1,2,True,1,None,N,20,0.4433049217994888,1,0,0,0,N,0,0,Compromised,4.0,0.0,4.0,4.0,0.0,0,5,200,True,192.185.143.202,2419,66,1138,904555.0,"420    http://netservicesindia.com/images
Name: url, dtype: object",4.0,1.0,0.0,7.0,0.0,1,1,0,0,0
32,32,32,lam.cz,lam.cz,2012-04-18,2020-01-04,14912,1,1,True,1,None,N,6,0.32312031562255994,0,0,0,0,N,0,0,Compromised,6.0,0.0,6.0,6.0,0.0,0,7,404,False,80.92.240.14,297,73,183,414799.0,"126    http://lam.cz/templates/lam/css/messg.jpg
Name: url, dtype: object",6.0,3.0,0.0,19.0,0.0,1,1,0,0,0
33,33,33,j.mp,j.mp,2011-09-24,2020-01-04,14418943,30,7,True,1,None,N,4,0.25,0,0,0,0,N,0,0,Attacker-Created,132.0,121.0,11.0,11.0,0.0,0,5,200,False,67.199.248.17,59574,51,65,545060.3478260869,"900    http://j.mp/28XRImM
Name: url, dtype: object",132.0,1.0,0.0,8.174242,0.0,1,1,0,0,0
34,34,34,moscowfitness.ru,www.moscowfitness.ru,2011-08-23,2020-01-04,46588,7,2,True,3,True,N,20,0.4355229691428729,0,0,0,0,N,0,1,Attacker-Created,34.0,0.0,34.0,0.0,28.0,0,14,200,True,90.156.201.105,32253,81,71,596070.4193548387,"784    http://www.moscowfitness.ru/9e568b3d621e611136...
Name: url, dtype: object",6.0,7.0,0.0,99.0,0.0,1,2,0,0,0
35,35,35,knop.cl,knop.cl,2010-06-24,2020-01-04,40882,2,4,True,2,True,N,7,0.35091935475549224,0,0,0,0,N,0,0,Compromised,10.0,0.0,8.0,8.0,0.0,0,5,404,False,200.54.157.251,159,81,613,546989.6,"413    http://knop.cl/webknop/templates/ja_personas/c...
Name: url, dtype: object",8.0,5.0,0.0,43.5,0.0,1,1,0,0,0
36,36,36,k-director.com,k-director.com,2013-09-02,2020-01-04,178300,1,1,True,1,True,N,14,0.4223479138995887,0,0,0,0,N,1,0,Compromised,6.0,0.0,6.0,6.0,0.0,0,9,404,False,192.185.5.199,746,69,321,647832.0,"550    http://k-director.com/info/Office/owa
Name: url, dtype: object",6.0,3.0,0.0,16.0,0.0,1,1,0,0,1
37,37,37,pronet.com,pronet.com,2014-09-11,2019-10-16,20473,1,1,True,1,True,N,10,0.3902410164862569,0,0,0,0,N,0,0,Compromised,19.0,0.0,19.0,19.0,0.0,0,7,200,False,198.252.106.251,9775,50,1828,694771.0,"588    http://pronet.com/
Name: url, dtype: object",19.0,1.0,0.0,1.0,0.0,1,1,0,0,0
38,38,38,tunisia-school.com,tunisia-school.com,2010-06-24,2020-01-04,38182,1,1,True,1,True,N,18,0.4465539119746932,0,0,0,0,N,1,0,Compromised,136.0,0.0,135.0,135.0,82.0,0,5,404,True,213.186.33.16,14,81,1104,415415.4731182796,"279    http://tunisia-school.com/forum/attachments/ca...
Name: url, dtype: object",53.0,4.0,0.0,60.547169999999994,0.0,1,1,0,0,0
39,39,39,explainthisimage.com,explainthisimage.com,2013-05-17,2020-01-04,397981,3,2,True,1,None,N,20,0.4730229691428728,0,0,0,0,N,0,0,Compromised,30.0,0.0,30.0,30.0,4.0,0,6,200,True,162.255.119.228,17939,82,284,563394.25,"1223    http://explainthisimage.com/posts/141207-ad-fails
Name: url, dtype: object",26.0,1.9615383999999998,0.0,25.153847,0.0,1,1,0,0,0
40,40,40,xorloser.com,xorloser.com,2012-07-23,2020-01-04,32949,3,1,True,1,None,N,12,0.3777569033835866,0,0,0,0,N,0,0,Compromised,43.0,0.0,42.0,42.0,20.0,0,5,200,False,94.242.57.246,419765,81,2279,551864.5,"882    http://xorloser.com/blog/wp-content/uploads/20...
Name: url, dtype: object",22.0,6.0,0.0,35.18182,0.0,1,1,0,0,0
41,41,41,spysoftwareking.com,spysoftwareking.com,2013-08-03,2020-01-04,15579,6,1,True,1,None,N,19,0.5046751401613343,0,0,0,0,N,0,0,Compromised,22.0,8.0,14.0,14.0,3.0,0,5,200,True,45.55.63.209,3940111,82,2665,437389.0,"1094    http://spysoftwareking.com/trial/spykinginvisi...
Name: url, dtype: object",19.0,1.5789474,0.0,16.210526,0.0,1,1,0,0,0
42,42,42,pictus.fr,pictus.fr,2014-06-03,2020-01-04,14866,1,1,True,1,None,N,9,0.3962406312451201,0,0,0,0,N,0,0,Compromised,12.0,0.0,12.0,12.0,0.0,0,5,404,True,213.186.33.69,50586,77,1564,392156.5,"188    http://pictus.fr/voeux/2015/scripts/index.php
Name: url, dtype: object",12.0,3.75,0.0,24.25,0.0,1,1,0,0,0
43,43,43,ninjaforge.com,ninjaforge.com,2014-11-15,2020-01-04,66355,2,2,True,2,None,N,14,0.4402050536856128,0,0,0,0,N,0,0,Compromised,2.0,0.0,2.0,2.0,0.0,0,6,200,False,104.152.168.19,16784,80,1474,629043.6666666665,"63    http://ninjaforge.com/component/content/articl...
Name: url, dtype: object",2.0,5.0,0.0,70.0,0.0,1,1,0,0,0
44,44,44,akaygam.com,akaygam.com,2010-07-08,2019-11-20,81435,10,1,True,1,True,N,11,0.3556688667156348,0,0,0,1,N,0,0,Compromised,16.0,7.0,9.0,9.0,0.0,1,6,404,False,94.73.147.126,46005,81,0,625503.0,"589    http://akaygam.com/images/mainf.gif?5baa3=3379131
Name: url, dtype: object",16.0,1.5625,0.0,10.0,0.0,1,1,0,0,0
45,45,45,nfscars.net,nfscars.net,2012-10-31,2020-01-04,3403605,13,6,True,3,None,N,11,0.3869744092943177,0,0,0,0,N,0,0,Compromised,55.0,0.0,54.0,54.0,43.0,0,6,404,True,192.95.3.44,62621,81,1,109646.52459016393,"795    http://nfscars.net/storage/games/underground2/...
Name: url, dtype: object",11.0,3.7272727,0.0,41.363636,0.0,1,1,0,0,0
46,46,46,sharm-club.com,sharm-club.com,2014-02-07,2020-01-04,43935,5,5,True,3,True,N,14,0.4402050536856128,0,0,0,0,N,1,0,Attacker-Created,3.0,0.0,3.0,3.0,0.0,0,6,404,True,143.95.252.118,17624,80,1180,662722.1212121212,"83    http://sharm-club.com/~astrol20/incconnect/sup...
Name: url, dtype: object",3.0,11.0,0.0,138.0,0.0,1,1,0,0,0
47,47,47,youtibe.com,youtibe.com,2013-02-23,2020-01-04,202743,8,5,True,4,None,N,11,0.409701685930287,0,0,0,0,N,0,0,Compromised,29.0,0.0,29.0,29.0,4.0,0,7,200,True,162.215.252.78,32,61,320,708654.0,"209    http://youtibe.com/start/roku
Name: url, dtype: object",25.0,1.84,0.0,12.16,0.0,1,1,0,0,0
48,48,48,vanemery.com,vanemery.com,2012-01-08,2020-01-04,201115,3,1,True,1,True,N,12,0.4064536489558933,0,0,0,0,N,0,0,Compromised,20.0,0.0,20.0,20.0,0.0,0,7,200,False,198.46.82.18,1344,73,104,526942.6666666665,"1337    http://vanemery.com/large_file_download/
Name: url, dtype: object",20.0,2.0,0.0,21.0,0.0,1,1,0,0,0
49,49,49,jafiles.net,jafiles.net,2013-12-31,2020-01-04,152190,4,4,True,2,True,N,11,0.409701685930287,0,0,0,0,N,0,0,Attacker-Created,27.0,0.0,27.0,27.0,3.0,0,6,200,False,104.18.63.121,3719,61,1,493197.5,"530    http://jafiles.net/file/0-j8B
Name: url, dtype: object",24.0,1.2083334,0.0,3.125,0.0,1,1,0,0,0
50,50,50,s4719.com,swww-banorte-com-mx.s4719.com,2019-07-05,2019-07-05,8,2,1,True,1,True,N,29,0.4994047176382916,1,0,0,1,N,3,1,Attacker-Created,4.0,0.0,4.0,0.0,0.0,0,6,404,False,104.18.45.142,74,69,39,702131.0,"654    http://swww-banorte-com-mx.s4719.com/
Name: url, dtype: object",4.0,1.0,0.0,1.0,0.0,1,2,0,0,0
51,51,51,9ed1nvw50858.site,account.desjardins.com.9ed1nvw50858.site,2019-05-31,2019-05-31,3,1,1,True,1,True,N,40,0.5284458981277969,1,0,1,0,N,0,3,Attacker-Created,3.0,0.0,3.0,0.0,0.0,0,6,None,False,on,None,81,71,453194.0,"823    http://account.desjardins.com.9ed1nvw50858.sit...
Name: url, dtype: object",3.0,2.0,0.0,8.0,0.0,1,0,0,0,0
52,52,52,fesafsdf.com,update-info.appleid.fesafsdf.com,2019-07-09,2019-07-10,25,1,2,True,2,None,N,32,0.477443602051925,0,1,1,1,N,1,2,Attacker-Created,9.0,0.0,9.0,0.0,2.0,0,6,403,False,31.133.100.103,241,71,31,490851.0,"32    http://update-info.appleid.fesafsdf.com/
Name: url, dtype: object",7.0,1.0,0.0,1.0,0.0,1,3,1,0,0
53,53,53,iphonelost-maps.com,cpanel.icloud.com.iphonelost-maps.com,2019-06-30,2019-07-17,29,1,2,True,1,None,N,37,0.4759306411169241,1,0,0,0,N,1,3,Attacker-Created,698.0,0.0,698.0,0.0,36.0,0,9,None,False,on,None,81,28,430235.0,"929    http://cpanel.icloud.com.iphonelost-maps.com/d...
Name: url, dtype: object",662.0,1.0800604999999999,0.0,8.700907,0.0,1,4,0,0,0
54,54,54,bancodelestado.net,bancodelestado.net,2019-06-17,2019-06-17,7,2,2,True,1,True,N,18,0.4187761341969155,0,0,0,0,N,0,0,Attacker-Created,5.0,0.0,5.0,5.0,0.0,0,8,200,False,104.18.54.240,0,58,57,179844.0,"792    http://bancodelestado.net/
Name: url, dtype: object",5.0,1.0,0.0,1.0,0.0,1,1,0,0,0
55,55,55,paymentremittancesystem.com,paymentremittancesystem.com,2019-06-18,2019-06-19,17,1,1,True,1,None,N,27,0.4369535394602725,0,0,0,0,N,0,0,Attacker-Created,4.0,0.0,4.0,4.0,0.0,0,5,None,False,on,None,73,55,979814.0,"1144    http://paymentremittancesystem.com/p-doc
Name: url, dtype: object",4.0,1.0,0.0,6.0,0.0,1,1,0,0,0
56,56,56,lorrainenluna.com,lorrainenluna.com,2019-07-14,2019-07-15,6,1,1,True,1,None,N,17,0.4171469130429416,0,0,0,0,N,0,0,Attacker-Created,2.0,0.0,2.0,2.0,0.0,0,7,200,False,198.252.102.115,1258,57,22,314218.0,"234    http://lorrainenluna.com/
Name: url, dtype: object",2.0,1.0,0.0,1.0,0.0,1,1,0,0,0
57,57,57,101010101010002.ml,101010101010002.ml,2019-05-06,2019-05-07,48,1,1,True,1,True,Y,18,0.2468671879269708,0,0,0,0,N,0,0,Attacker-Created,4.0,0.0,4.0,4.0,0.0,0,7,None,False,on,None,67,83,963290.0,"625    http://101010101010002.ml/call-now1
Name: url, dtype: object",4.0,1.0,0.0,10.0,0.0,1,1,0,0,0
58,58,58,siteblack.online,acesso.siteblack.online,2019-04-30,2019-04-30,2,1,1,True,1,True,Y,23,0.4376747287646666,0,0,0,0,N,0,1,Attacker-Created,3.0,0.0,3.0,0.0,0.0,0,6,None,False,on,None,81,96,631389.0,"786    http://acesso.siteblack.online/cadastro/index.php
Name: url, dtype: object",3.0,2.0,0.0,19.0,0.0,1,2,0,0,0
59,59,59,apppid2cikzow.com,mail.apppid2cikzow.com,2019-06-17,2019-06-17,4,1,1,True,1,True,N,22,0.4465779615334223,0,0,0,0,N,0,1,Attacker-Created,1.0,0.0,1.0,0.0,0.0,0,7,200,False,162.144.63.216,2330,62,50,514542.0,"865    http://mail.apppid2cikzow.com/
Name: url, dtype: object",1.0,1.0,0.0,1.0,0.0,1,2,0,0,0
60,60,60,efidca5axicolaccr-2acssecurestoreeaccstore.cf,efidca5axicolaccr-2acssecurestoreeaccstore.cf,2019-05-14,2019-05-15,67,1,1,True,1,True,Y,45,0.4575826787482567,0,0,0,0,N,1,0,Attacker-Created,1.0,0.0,1.0,1.0,0.0,0,5,None,False,on,None,82,84,820608.0,"1236    http://efidca5axicolaccr-2acssecurestoreeaccst...
Name: url, dtype: object",1.0,1.0,0.0,1.0,0.0,1,0,0,0,0
61,61,61,coolflower.xyz,coolflower.xyz,2019-08-07,2019-08-08,9,1,1,True,0,None,Y,14,0.4156078493373017,0,0,0,0,N,0,0,Attacker-Created,14.0,1.0,13.0,13.0,2.0,0,5,200,False,107.180.41.238,1244,81,1,277486.0,"957    http://coolflower.xyz/CXMS-Help-Call-Now1/main.js
Name: url, dtype: object",12.0,1.25,0.0,14.083332999999998,0.0,1,1,0,0,0
62,62,62,serviceitunestorage.store,serviceitunestorage.store,2019-08-13,2019-08-14,8,2,1,True,1,None,N,25,0.4311105160511408,0,0,1,0,N,0,0,Attacker-Created,5.0,0.0,5.0,5.0,0.0,0,7,None,False,on,None,69,0,478983.0,"421    https://serviceitunestorage.store/app
Name: url, dtype: object",5.0,1.0,0.0,2.2,0.0,1,1,0,0,0
63,63,63,getbinance.org,getbinance.org,2019-07-10,2019-07-11,60,3,4,True,3,True,N,14,0.4223479138995887,0,0,0,0,N,0,0,Attacker-Created,2.0,0.0,2.0,2.0,0.0,0,8,200,False,104.31.69.108,22865,55,31,301306.0,"613    https://getbinance.org/
Name: url, dtype: object",2.0,1.0,0.0,1.0,0.0,1,1,0,0,0
64,64,64,synctraff.com,synctraff.com,2016-07-21,2016-07-21,3,1,1,True,1,True,N,13,0.4240934099952612,0,0,0,0,N,0,0,Attacker-Created,36.0,12.0,24.0,24.0,0.0,0,5,200,False,62.212.87.141,36623,54,283,532916.0344827586,"836    http://synctraff.com/l
Name: url, dtype: object",36.0,1.8888888,0.5555555999999999,19.416666,0.0,1,1,0,0,0
65,65,65,zobacz-foteczki.eu,zobacz-foteczki.eu,2019-07-30,2019-07-30,2,1,1,True,1,True,N,18,0.4465539119746932,0,0,0,0,N,1,0,Attacker-Created,7.0,0.0,7.0,7.0,0.0,0,7,200,True,194.181.228.30,18505,58,15,165163.0,"564    http://zobacz-foteczki.eu/
Name: url, dtype: object",7.0,1.0,0.0,1.0,0.0,1,1,0,0,0
